苏州欣茂餐饮管理有限公司,,黄鹏,18792080066,,5,保密,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/20162/78411/
广东新又好企业管理服务有限公司,广东,张生,13710091978,,7,200,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/20186/115036/
武汉中鼎餐饮管理有限公司,全国食堂承包,肖总,15623593870,,4,127,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/20179/103570/
深圳大美食代餐饮管理有限公司,深圳市,汪先生,15989489008,,2,保密,团膳专家,是,是,否,否,否,https://www.tansent.com/tscom/zt/20193/128224/
上海光红餐饮企业管理有限公司,上海,朱光红,13764325558,,2,保密,团膳专家,否,否,否,否,否,https://www.tansent.com/tscom/zt/20194/129402/
南昌市凡越餐饮管理有限公司,,杨剑平,18174053533,,2,保密,团膳专家,否,否,否,否,否,https://web.tansent.com/141031/
合肥黄山大厦酒店管理集团有限公司,全国性区域,甄先生,,0551-62221852,7,260,团膳通,是,是,否,否,否,https://web.tansent.com/55615/
四川顺心餐饮投资管理有限公司,四川省成都市,蒋锐,,028-85009906,7,保密,团膳通,否,否,否,否,否,https://web.tansent.com/64406/
河南国壹餐饮管理有限公司,河南省郑州市.山西省.北京市.云南省.美国西雅图.福建省,娄长永,13838595925,,6,19,团膳通,是,是,否,否,否,https://web.tansent.com/71147/
西安品优餐饮管理有限公司,陕西省,市场部,15810367749,,6,50,团膳通,是,是,否,是,否,https://web.tansent.com/75410/
杭州笨笨熊餐饮有限公司,浙江省杭州市,陈延聪,13588066652,0571-56925753,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/46146/
武汉鑫晨曦餐饮管理有限公司,湖北省,张先生,13720288669、13720288669、18971062477,,9,48,团膳通,是,是,是,是,否,https://web.tansent.com/38546/
广州市盛昌餐饮企业管理有限公司,广东省、贵州省、湖南省和湖北等,易先生,18520336388,,6,40,团膳通,是,是,否,是,否,https://web.tansent.com/75313/
南京泉满餐饮管理有限公司,江苏、安徽、浙江,陈孝金,15952724115,,4,保密,团膳通,否,否,否,否,否,https://web.tansent.com/99883/
宁波凯隆餐饮管理集团有限公司,浙江省宁波市,徐轲,18530015789,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/39043/
重庆绿点餐饮有限公司,全国,邹祥华,18523111117,,5,20,团膳通,是,是,是,是,否,https://web.tansent.com/81168/
武汉锦康餐饮管理有限公司,全国,吴先生,18623334692,,8,70,团膳通,否,否,否,否,否,https://web.tansent.com/46771/
南京国坤餐饮管理有限公司,江苏、安徽,徐福有,15066261273,,6,60,团膳通,是,是,否,否,否,https://web.tansent.com/72866/
常州丰晟餐饮管理有限公司,安徽省\江苏省欢迎来电洽谈业务,蔡守琴,18756303253,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/78924/
济南和谐餐饮管理有限公司,山东省,范先生,13406955195,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/78541/
四川兴川后勤管理集团有限公司,成都、遂宁、德阳、巴中、西安、汉中、贵州等全国区域,高总,,028-86713063,9,95,团膳通,是,是,是,是,否,https://web.tansent.com/57665/
武汉南北湾餐饮管理有限公司,湖北武汉、黄冈、麻城、随州、安徽、南京等,樊红阳,18995605618,027-86626885,8,30,团膳通,是,是,否,是,否,https://web.tansent.com/54745/
郑州老兵餐饮管理有限公司,河南省 、山东省、江苏省,李总监,18039660261,,6,60,团膳通,否,否,否,否,否,https://web.tansent.com/61314/
山东松乔餐饮管理有限公司,山东省 江苏 河北 安徽,赵先生,13305411128,,13,35,团膳通,是,是,是,是,否,https://web.tansent.com/464/
常州常奥餐饮管理有限公司,江苏省常州市,丁先生,13775612867,,9,30,团膳通,是,是,否,否,否,https://web.tansent.com/60323/
宁波世纪万发餐饮管理有限公司,浙江省宁波市,秦先生,057488130838、057488130838、17858878788,,9,101,团膳通,否,否,否,否,否,https://web.tansent.com/39225/
成都龙王生物高科技有限公司,四川省成都市,秦小松,,,8,39,团膳通,否,否,否,否,否,https://web.tansent.com/46236/
安徽八佰味餐饮有限责任公司,安徽省合肥市,张国庆,15056083588,,7,保密,团膳通,否,否,否,否,否,https://web.tansent.com/61106/
广州市蓝波旺餐饮管理服务有限公司,广东省广州市,赵龙,,020-89637819,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/40980/
大同市金燕酒店管理有限公司,北方地区、山西、河北、内蒙、天津、北京,党连,13753243232,,6,60,团膳通,是,是,否,否,否,https://web.tansent.com/73390/
南京创福餐饮管理有限公司,江苏，安徽，浙江，上海,张经理,15150579819,,6,15,团膳通,否,否,否,否,否,https://web.tansent.com/70280/
四川聚成餐饮管理有限公司,四川省,杨泉,18583978969,,4,40,团膳通,否,否,否,否,否,https://web.tansent.com/95161/
郑州康捷餐饮管理服务有限公司,河南省,经理,,0371-55610220,8,16,团膳通,是,是,否,否,否,https://web.tansent.com/53888/
上海粤珍小厨餐饮管理股份有限公司,上海及全国区域,销售,,,8,65,团膳通,是,是,是,是,是,https://web.tansent.com/53075/
九江金中兴餐饮管理有限公司,江西省及全国范围,李晓华,18770910888,,6,30,团膳通,是,是,否,否,否,https://web.tansent.com/68321/
西安米特餐饮管理有限公司,,廖先生,13709216219,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/82096/
重庆莘莘餐饮管理有限公司,重庆市市辖区,蒋明宏,13002350918,,12,保密,团膳通,是,是,否,否,否,https://web.tansent.com/2068/
深圳市心连心餐饮管理有限公司,广东省深圳市,张先生,13798314899,,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/59856/
河南味邦餐饮管理服务有限公司,河南省郑州市,杜经理,,0371-55279191,6,18,团膳通,否,否,否,否,否,https://web.tansent.com/57298/
江西星庐餐饮管理有限公司,江西省南昌市,先生,13576288777,,7,保密,团膳通,是,是,否,否,否,https://web.tansent.com/55422/
成都市金锦程餐饮管理咨询有限公司,,刘志瑜,13258291868,,6,保密,团膳通,是,是,否,是,否,https://web.tansent.com/74817/
河南津力餐饮管理有限公司,,张先生,13592475350,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/76848/
南京大锅饭饮食服务有限公司,江苏省 安徽省,王先生,15852900007,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/85369/
湖南五味坊餐饮管理有限公司,全国,周鑫,18773131416,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/75392/
河南众海餐饮管理有限公司,中国区内企事业单位、高校、中学、医院、大型工厂等食堂,胡经理,,,9,86,团膳通,否,否,否,否,否,https://web.tansent.com/39348/
青岛举鑫帮厨有限公司,山东省、江苏省、吉林省、辽宁省、黑龙江省、北京市、上海市等,牛经理,13969798003,,7,300,团膳通,否,否,否,否,否,https://web.tansent.com/59944/
湖南美源餐饮管理服务有限公司,全国,颜先生,15388950399,,6,13,团膳通,否,否,否,否,否,https://web.tansent.com/69141/
重庆海泰管理服务有限公司,全国,按需拨打,,,11,80,团膳通,是,是,否,是,否,https://web.tansent.com/2426/
河南麦金地餐饮管理服务有限公司,河南省,樊浩,13683835545,0371-86097979,8,30,团膳通,是,是,是,是,否,https://web.tansent.com/49460/
广东富斯凯餐饮管理有限公司,广东省,刘先生,13924165000,,9,56,团膳通,否,否,否,否,否,https://web.tansent.com/39188/
公司,经营地区,联系人,电话,固话,入驻团膳/年,团膳等级,承包食堂,ISO22000,ISO9001,中央厨房,投保,上市公司,公司官网
厦门亿食餐饮管理有限公司,福建省,马先生,13030847078,,6,32,团膳通,是,是,是,是,否,https://web.tansent.com/67447/
青岛敬学餐饮管理公司,全国,吴振宇,13863999456,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/78381/
云南云聚餐饮管理有限公司,,陈斌,15969400039,,4,保密,团膳通,否,否,否,否,否,https://web.tansent.com/104289/
扬州味曾鲜餐饮管理有限公司,江苏,李照满,15161862223,,5,36,团膳通,是,是,是,是,否,https://web.tansent.com/79477/
郑州好生活餐饮管理有限公司,河南省郑州市,段经理,,,6,15,团膳通,否,否,否,否,否,https://web.tansent.com/65820/
洛阳市百味佳餐饮管理有限责任公司,河南省洛阳市,葛党辉,13838861618,,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/54427/
淮安市美味多餐饮企业管理服务有限公司,,黄雷,17798983338,,6,18,团膳通,是,是,否,否,否,https://web.tansent.com/72641/
重庆读肴知味餐饮管理有限公司,,沈明辉,17782327222,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/73739/
安徽同心德餐饮管理有限公司,安徽、江苏、山东丶河南，等地。,崔总13856813110,17733333939,,4,6,团膳通,是,是,否,否,否,https://web.tansent.com/94032/
无锡市政惠餐饮管理有限公司,江苏省无锡市,朱建馀,15094388555,,8,89,团膳通,否,否,否,否,否,https://web.tansent.com/50712/
贵州省宏鑫学校后勤管理服务有限公司,云南省、贵州省、四川省、重庆学校、医院、工厂第食堂超市承包。,全经理,15085039309,,6,5,团膳通,否,否,否,否,否,https://web.tansent.com/69760/
厦门开心上校餐饮管理有限公司,"福建省，江苏省，四川省,湖北，河南，陕西，江西等",郑先生,18650011123,,6,558,团膳通,否,否,否,否,否,https://web.tansent.com/76032/
湖南金凯餐饮投资管理有限公司,全国,刘蓬发,15367586868,,8,50,团膳通,否,否,否,否,否,https://web.tansent.com/57604/
山东凯奇餐饮有限公司,山东省威海市,宋先生,,0631-5669168,9,310,团膳通,是,是,是,是,否,https://web.tansent.com/39009/
武汉中快餐饮管理有限公司,湖北省武汉市,殷邵金,15623593870,,7,856,团膳通,否,否,否,否,否,https://web.tansent.com/64108/
昆山御膳坊餐饮管理有限公司,苏州市 昆山市 泰州市 徐州市 安徽省 亳州市 ,胡先生,13773142123,,6,40,团膳通,否,否,否,否,否,https://web.tansent.com/70171/
重庆康润饮食服务有限公司,,胡学林,18523911769,,5,30,团膳通,是,是,否,否,否,https://web.tansent.com/81655/
安徽大佳一餐饮管理有限公司,安徽区域,陈厚平,55165690588,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/78192/
四川西科餐饮管理服务有限公司,四川省成都市,唐小姐,,028-85001788,9,50,团膳通,是,是,是,是,否,https://web.tansent.com/39179/
四川三和诚信餐饮管理有限公司,四川、重庆、贵州、安徽、甘肃、云南,杨先生,,028-85239621,9,保密,团膳通,是,是,是,是,否,https://web.tansent.com/38311/
广东新又好企业管理服务有限公司（广东）,全国,田梅,13580558763,,6,100,团膳通,否,否,否,否,否,https://web.tansent.com/68087/
杭州中泰餐饮服务有限公司,浙江省温州市,黄瑞,18779216003,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/59875/
河南枫林餐饮管理有限公司,河南省郑州市,王耀杰,18838082970,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/58562/
郑州金鹿鸣餐饮管理有限公司,河南省郑州市,孙经理,18837121716,,7,保密,团膳通,否,否,否,否,否,https://web.tansent.com/58518/
江苏金桃餐饮管理有限公司,江苏省扬州市,周先生、胡先生,18652501488、18652501488、15062805522,,10,保密,团膳通,否,否,否,否,否,https://web.tansent.com/16846/
安徽金雨餐饮管理有限公司,安徽省,王怀忠,13855216538、13855216538、13305520000,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/73081/
陕西中快餐饮管理有限公司,陕西省西安市,李响,15229246885,,7,80,团膳通,否,否,否,否,否,https://web.tansent.com/59752/
山东兴顺餐饮管理有限公司,山东省威海市,周杰,,0631-5268899,8,保密,团膳通,是,是,是,是,否,https://web.tansent.com/44095/
郑州书香餐饮管理有限公司,河南省郑州市,樊经理,13007618011,,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/52134/
安徽万丰祥餐饮经营管理有限公司,安徽省合肥市,梁万军,13721077187,,6,18,团膳通,是,是,否,否,否,https://web.tansent.com/65267/
河北千喜鹤饮食股份有限公司（昆明管理区）,云南省昆明市,杨海国,13208801010,,9,55,团膳通,否,否,否,否,否,https://web.tansent.com/38864/
青岛健力源餐饮管理有限公司,山东省青岛市,徐先生,18669883728,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/38977/
武汉华工后勤管理有限公司,湖北、湖南、广东、贵州、河南、安徽、山东等,刘先生,,027-67845047,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/46371/
北京碧天家食捷餐饮管理有限公司,北京市市辖区,刘先生,18600012306,,12,保密,团膳通,否,否,否,否,否,https://web.tansent.com/1951/
宁波康喜乐嘉餐饮管理有限公司,浙江省宁波市,刘相如,15058291666,,12,200,团膳通,否,否,否,否,否,https://web.tansent.com/2125/
合肥市泛美餐饮管理有限公司,安徽省合肥市,杜学洋,13956934878,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/38204/
重庆市端聚餐饮管理有限公司,重庆市市辖区,陈林,15909391988,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/38516/
安徽蜀王优芙得餐饮服务有限公司,安徽省合肥市,余韵,13855180358、13855180358、055165327097,,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/39473/
西安晏皇餐饮管理有限公司,陕西省西安市,赵晏祥,13679168017,,8,60,团膳通,否,否,否,否,否,https://www.tansent.com/tscom/zt/20137/50578/
成都市一厨餐饮管理有限公司,四川省,肖龙强,,,7,10,团膳通,否,否,否,否,否,https://web.tansent.com/61523/
常州雅韵餐饮管理有限公司,全国,张善义,14761262392,,5,8,团膳通,否,否,否,否,否,https://web.tansent.com/86960/
深圳中康餐饮管理有限公司,全国,李,18970223410,,7,500,团膳通,否,否,否,否,否,https://web.tansent.com/57669/
广州润和餐饮管理有限公司,,陈小姐,13560233315,,6,保密,团膳通,是,是,是,是,否,https://web.tansent.com/75323/
沈阳蒲公英餐饮服务有限公司,辽宁省沈阳市,王威,13898898895,,9,35,团膳通,否,是,是,是,否,https://web.tansent.com/62187/
成都顶盛餐饮管理有限公司,成都,赵贵,18328737662,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/80027/
深圳市统和饮食服务有限公司,,郑总,13828816648,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/73428/
江苏南通众望餐饮管理有限公司,,刘苏鑫,15365599112,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/70401/
山东展飞餐饮有限公司,山东省,梁衍站,15288870881,,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/49480/
重庆欣食宇餐饮管理有限公司,重庆市，云南省，四川省，贵州省。,李经理,18723257963,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/79968/
大同市东兴鼎昊酒店管理有限公司,山西省、内蒙古、河北省等地区,边凯,,,7,80,团膳通,是,是,是,是,否,https://web.tansent.com/60269/
北京迎芯琪餐饮管理有限公司,全国,吕占国,18511905143,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/68505/
河南双丰粮业发展有限公司,全国各地,袁经理,,,5,保密,团膳通,是,是,否,否,否,https://web.tansent.com/78004/
安阳市新希望酒店管理有限公司,河南省安阳市,冯经理,13837241612,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/60271/
厦门家的味道餐饮管理有限公司,福建省厦门市,陈娟,,0592-5759200,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/54096/
安徽徽王餐饮管理集团有限公司,中国区域,张先生,13866112739,,11,120,团膳通,否,否,否,否,否,https://web.tansent.com/3154/
常州扬子餐饮管理有限公司,,刘婷婷,15861893820,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/71218/
郑州元逢餐饮管理咨询有限公司,,李永峰,18638125138,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/80395/
福建立品餐饮管理服务有限公司,,林剑,13599064518,,6,35,团膳通,否,否,否,否,否,https://web.tansent.com/72299/
重庆永和豆浆餐饮经营管理有限公司,重庆市 成都市 贵州市,郑云,15923531566,,6,9,团膳通,否,否,否,否,否,https://web.tansent.com/59767/
重庆红高粱餐饮管理有限公司,重庆市重庆市,谭老师,,,7,30,团膳通,否,否,否,否,否,https://web.tansent.com/62878/
天津金鼎鸿运餐饮管理有限公司,天津。河北省。北京。四川省，河南省，,邓先生,18322067325,,6,保密,团膳通,是,是,否,否,否,https://web.tansent.com/75025/
常州市诚厚餐饮管理有限公司,,冯得国,13921087310,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/83184/
南京悦和餐饮管理有限公司,江苏省南京市,姚阳洋,15365067771,,11,60,团膳通,否,否,否,否,否,https://web.tansent.com/2448/
杭州宝碟餐饮管理有限公司,浙江省杭州市,潘先生,13429128188,0571-86758529,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/61765/
河南品中餐饮管理有限公司,河南省郑州市,符经理,,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/66938/
南京秦赢汉邦餐饮管理有限公司,江苏省南京市,杨炳华,13327726677,,8,保密,团膳通,是,是,否,否,否,https://web.tansent.com/54212/
南通百润餐饮管理有限公司,全国,严百强,,,9,60,团膳通,否,否,是,是,否,https://web.tansent.com/38149/
南昌和泰餐饮管理有限公司,江西省及全国范围,谭经理,15970414139,,7,保密,团膳通,否,否,否,否,否,https://web.tansent.com/59729/
青岛易莲花餐饮有限公司,山东省青岛市,王志恒,,,13,保密,团膳通,否,否,否,否,否,https://web.tansent.com/1200/
江苏康健餐饮管理有限公司,江苏省连云港市,侍枫,18936656667,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/59260/
苏州工业园区科桥餐饮服务有限公司,,严卫东,,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/73553/
徐州彦青餐饮管理有限公司,,张茂贤,18652270222,,2,保密,团膳通,否,否,否,否,否,https://web.tansent.com/127106/
合肥海氏惠杰餐饮管理有限公司,安徽省,海志键,13866662350,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/79573/
四川兴百年餐饮管理有限公司,四川省/重庆市,张国新,13558815851,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/38782/
苏州市金勺子餐饮管理有限公司,苏州市东环南路999号2幢2101,肖先生,15962152318,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/65014/
公司,经营地区,联系人,电话,固话,入驻团膳/年,团膳等级,承包食堂,ISO22000,ISO9001,中央厨房,投保,上市公司,公司官网
青岛书香味道餐饮管理有限公司,青岛市、济南市、徐州市、枣庄市、济宁市,曹经理,18766861277,,5,56,团膳通,否,否,否,否,否,https://web.tansent.com/90842/
厦门市食悦餐饮企业管理有限公司,福建省厦门市,林锋,,0592-7201819,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/2895/
重庆味之香餐饮管理有限公司,重庆市,陈启龙,15111883919,,4,保密,团膳通,否,否,否,否,否,https://web.tansent.com/99189/
河南为群餐饮服务有限公司,河南省郑州市,张女士,13673625989,,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/45804/
广州妈妈菜餐饮服务有限公司,广东省周边,杨先生,13630048888,,5,100,团膳通,否,否,否,否,否,https://web.tansent.com/79987/
贵州金麦臣餐饮管理有限公司,贵州,任先生,18302598598,,5,28,团膳通,否,否,否,否,否,https://web.tansent.com/76554/
成都晟丰餐饮服务有限公司,四川、重庆、云南、贵州,刘先生,13980086531、13980086531、13881768998、13551393943,,4,保密,团膳通,是,是,是,否,否,https://web.tansent.com/97549/
苏州嘉华企业服务有限公司,全国,杨爱鸿,13382104886,,6,38,团膳通,否,否,否,否,否,https://web.tansent.com/66699/
安徽味多多餐饮管理有限公司,安徽省蚌埠市,曹维克,,0552-4072370,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/54835/
苏州高新区方舟快餐服务部,江苏省苏州市,施梦舟,,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/53081/
江西名轩餐饮管理有限公司,江西,熊先生,13707919229,,6,35,团膳通,否,否,否,否,否,https://web.tansent.com/70138/
惠州市锦源餐饮管理有限公司,广东省,邓先生,13530836076,0752-8349819,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/67798/
南通鹏悦餐饮管理有限公司,,周建鹏,13814658566,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/68806/
天津泰达标准食品有限公司,天津市天津市,王女士,,022-25329866,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/67127/
青岛普菲斯餐饮管理服务有限公司,长江以北,胡晓国,13045154321,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/67539/
江西省欧思麦餐饮管理服务有限公司,江西省,张先生,,,6,40,团膳通,否,否,否,否,否,https://web.tansent.com/67470/
昆明龙奔达餐饮管理有限公司,,李总,15559910237,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/70760/
西安美通餐饮管理有限公司,陕西省西安市,张先生,18149232977,,4,15,团膳通,否,否,否,否,否,https://web.tansent.com/106505/
江苏膳源餐饮管理有限公司,江苏省,徐国萍,,,7,50,团膳通,否,否,否,否,否,https://web.tansent.com/64121/
成都聚膳源现代膳食管理有限责任公司,四川省,曹晋婷,15308008222,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/70275/
江西省中星餐饮有限公司,江西,何经理,15270926752,,6,20,团膳通,否,否,否,否,否,https://web.tansent.com/65955/
深圳南北汇点饮食服务有限公司,广东省,罗小姐,13424420216,0755-86213918,6,38,团膳通,是,是,是,是,否,https://web.tansent.com/74342/
江西大厨餐饮管理有限公司,江西,费先生,13755687779、13755687779、15170249505,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/38341/
上海颐谷餐饮管理有限公司,上海市市辖区,李强,,021-64777667,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/50735/
济南新同合餐饮管理服务有限公司,山东省及其它省份,周先生,,0531-86160506,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/57799/
南昌金龙餐饮管理有限公司,江西省南昌市,章金,13970998357,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/50716/
成都富泽后勤管理服务有限公司,四川省成都市,李富贵,13458252888,,7,保密,团膳通,否,否,否,否,否,https://web.tansent.com/59546/
苏州兆宇餐饮管理有限公司,江苏省各区市,钭兆令,18012621618,,9,保密,团膳通,否,否,否,否,否,https://web.tansent.com/38196/
陕西知味居餐饮管理有限公司,,安琨,18681981663,,4,保密,团膳通,否,否,否,否,否,https://web.tansent.com/103219/
安徽荣康后勤管理服务有限公司,全国各地,邹相荣,13218528222,,5,保密,团膳通,否,否,否,否,否,https://web.tansent.com/86790/
合肥市天鲜配餐饮有限责任公司,安徽省,杨先生,,0551-62909019,8,51,团膳通,否,否,否,否,否,https://web.tansent.com/40950/
武汉卫加味餐饮管理有限公司,,吕红林,15107182887,,6,保密,团膳通,否,否,否,否,否,https://web.tansent.com/67202/
上海和盈餐饮管理有限公司,上海市市辖区,严先生,18616830300,,8,保密,团膳通,否,否,否,否,否,https://web.tansent.com/55513/
长沙华逸府餐饮文化传播有限公司,湖南长沙,李总,17708437703,,6,30,团膳通,是,是,否,否,否,https://web.tansent.com/86503/
杭州临北餐饮管理有限公司,浙江省,刘先生,18072798858,,9,30,团膳通,是,是,否,是,否,https://web.tansent.com/61857/
北京通顺达源餐饮管理有限公司,北京市北京市,朱传岭,15206567888、15206567888、13681538618,,6,5,团膳通,否,否,否,否,否,https://web.tansent.com/62080/
河北承乾康泰餐饮管理有限公司,全国,马先生,17332510999,,6,保密,团膳通,是,是,否,是,否,https://web.tansent.com/70264/
郑州昌盛餐饮管理咨询有限公司,,吴先生,15238602113,,4,保密,团膳通,否,否,否,否,否,https://web.tansent.com/107603/
广州市蓝鹰饮食管理有限公司,广东省广州市,张海雄,13798122028,,12,保密,团膳通,否,否,否,否,否,https://web.tansent.com/1738/
